artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
"shaggy feat. ricardo ""rikrok"" ducent",shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,l1,2001,Reggae
shaggy featuring janet,shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,l1,1999,Reggae
"shaggy featuring mohombi, faydee, costi",shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,l1,2015,Reggae
shaggy featuring rayvon,shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,l1,2001,Reggae
shai,shai,shai,shai,Shai,72y3ZI95ctkQC2O4mjBaU3,new jack swing;quiet storm;r&b,spotify,artist,1996,RnB
shakespear's sister,shakespear's sister,shakespear's sister,shakespears sister,Shakespears Sister,7ooOn6bokl4mGV4CEaUz6A,pop;female vocalists;adult contemporary;alternative pop,musicbrainz,l3,1993,Pop
shakin' stevens,shakin' stevens,shakin' stevens,shakin stevens,Shakin' Stevens,0wi4yTYlGtEnbGo4ltZTib,christmas;rockabilly,spotify,artist,1984,Rock
shakira,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,artist,2023,Pop
shakira & cardi b,shakira & cardi b,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l2,2024,Pop
shakira & rauw alejandro,shakira & rauw alejandro,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l2,2022,Pop
shakira + ozuna,shakira + ozuna,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l2,2023,Pop
shakira feat. alejandro sanz,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2005,Pop
shakira featuring el cata or dizzee rascal,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2011,Pop
shakira featuring freshlyground,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2010,Pop
shakira featuring lil wayne,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2010,Pop
shakira featuring maluma,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2017,Pop
shakira featuring nicky jam,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2017,Pop
